HISTORY PLOT
lcase1

Curve 1
X : Pos Z cbody3
Y : Force Z cbody2

       X              Y       
------------------------------
  -1.110223e-16  -1.217482e-05
   1.250000e-01   2.108532e-01
   2.500000e-01   3.625806e-01
   3.750000e-01   4.742991e-01
   5.000000e-01   5.580375e-01
   6.250000e-01   6.216705e-01
   7.500000e-01   6.705284e-01
   8.750000e-01   7.083212e-01
   1.000000e+00   7.376937e-01
   1.125000e+00   7.605702e-01
   1.250000e+00   7.783759e-01
   1.375000e+00   7.921829e-01
   1.500000e+00   8.028091e-01
   1.625000e+00   8.108859e-01
   1.750000e+00   8.169063e-01
   1.875000e+00   8.212588e-01
   2.000000e+00   8.242522e-01
